抖音号名称,新增作品数,获赞数,评论数,分享数,新增粉丝数,累计粉丝数,新榜指数
小涵同学,10,384255,53739,147165,37877,455564,799.0
serpent發財,25,940750,51782,101916,59188,453830,802.8
假发椰子,157,286701,59985,94394,23687,432259,785.9
王小兰想单飞,21,533854,85361,281185,9775,409281,785.8
阿钰不能再干饭了,20,704705,44388,112038,42206,383369,792.4
一个芋头,26,440684,47607,53743,42232,382976,782.3
崔夕夕,15,1390747,129160,338160,21999,334855,796.2
眠zzz,18,1513511,109275,263020,234164,332385,826.7
双木林林子,13,979520,96949,312019,31886,308264,796.1
早见造型,15,167303,27111,68451,120672,307887,784.7
爱做美甲的小鹿,44,869180,53456,199783,59877,303360,798.3
瑜瑜不是二狗,13,449509,67936,173116,28711,301735,788.0
贝壳小宁,12,1523792,435103,1113118,100235,225508,804.8
